,Unnamed: 0,Vac_name,City,From_salary,To_salary,Date,Expirience,Employment,Work_schedule,Descriptions,Duties,Requiremenst,Terms,Key_skills,Day_from_pars
0,0,IT Директор,Санкт-Петербург,300000.0,,2020-10-20T11:25:58+0300,От 3 до 6 лет,Полная занятость,Полный день,   ,"   Запуск и развитие проекта на территории РФ;   Определение стратегических целей проекта;   Разработка и реализация маркетинговой стратегии и тактики;   Поиск идей и гипотез по развитию проекта;   Формирование и защита бюджета компании;   Контроль исполнения бюджета, отчетность по реализации;   Защита стратегий развития перед учредителем бизнеса;   Представление интересов проекта на внешнем рынке;   Планирование и управление операционной деятельностью компании;   Формирование и управление командой проекта;   Анализ и оптимизация расходов.   ","   Опыт работы не менее 3 лет Директором проектов/Генеральным директором;   Приветствуется опыт продвижения программных продуктов для массового пользователя;   Опыт работы с блогерами будет Вашим преимуществом;   Умение анализировать результаты маркетинговых активностей и их   вклад в динамику роста аудитории продукта;   Наличие успешных кейсов;   Желание самореализовать себя и добиться успеха;   Аналитический склад ума и системность подхода к решению поставленных задач;   Развитые навыки планирования и контроля, управления проектами/бизнес-процессами;   Быстрая адаптация к новым условиям.   ",   , Стратегия Развития; Маркетинговый анализ; Бизнес-планирование; Развитие бизнеса; Операционный менеджмент;,8
1,1,IT Директор,Санкт-Петербург,190000.0,,2020-10-20T14:46:07+0300,От 1 года до 3 лет,Полная занятость,Полный день, ,   Руководство отделом IT.   Стратегическое и тактическое планирование деятельности отдела информационных технологий.   ,"   Высшее техническое образование.   Опыт управления и построения IT - инфраструктуры.   Аналогичный опыт работы (опыт в производственных компаниях будет преимуществом).   Знание и опыт применение современных подходов организации и обслуживания IT-инфраструктуры.   Коммуникабельность, оперативность, активная жизненная позиция, инициативность, самостоятельность, ответственность.   ",   Оформление согласно ТК РФ.   Возможности для профессионального развития и роста.   График работы: 5/2.   ,,8
2,2,Project manager,Москва,130000.0,124084.0,2020-10-18T14:43:20+0300,От 1 года до 3 лет,Полная занятость,Удаленная работа,"  Мы помогаем предпринимателям расширять их бизнес, проектируя, производя и поставляя для них новые промышленные здания по России и в Мире.  ",,"   Опыт выполнения аналогичных обязанностей от 1 года;   Успешный опыт внедрения 1С ERP;   Опыт автоматизации проектирования Tekla Structure/Advance Steel;   Опыт интеграции интернет-магазина;   Опыт работы в тревел бизнесе и знание специфического ПО - будет большим плюсом;   Бэкграунд разработчика (C++, React, PHP, MSSQL, MYSQL) или 1С - будет плюсом;   ","   Оформление по ТК РФ;   График 5/2, комфортное рабочее место   Амбициозные и интересные задачи;   Прозрачная система мотивации.   Слышащее руководство.    Компенсация профессионального обучения 50%    Возможна удаленная работа   Оплачиваемые командировки   Компенсация сотовой связи   ", Управление проектами; Веб-программирование; phpMyAdmin; Информационные технологии; Разработка технических заданий; 1С: Управление предприятием; HTML; Оптимизация бизнес-процессов;,10
3,3,IT-рекрутер,Санкт-Петербург,70000.0,150000.0,2020-10-19T23:03:44+0300,Нет опыта,Полная занятость,Полный день," Привет! Мы ITIVA - рекрутинговое агентство в IT.  Мы подбираем разработчиков для IT компаний в России и Европе.  Сейчас мы ищем себе в команду рекрутера с бэкграундом в подборе персонала. Если ты проявляешь интерес к IT сфере, хочешь решать уникальные кейсы и помогать людям - будем рады видеть тебя в нашей команде.   Тебе предстоит:  ",,,"  В сопроводительном письме будем рады ознакомиться с summary по позициям, которые удалось успешно закрыть.  ", Подбор персонала; Английский язык; Обучение и развитие; Грамотная речь; Рекрутмент;,9
4,4,IT-рекрутер,Москва,100000.0,142333.0,2020-10-21T09:49:39+0300,Нет опыта,Полная занятость,Удаленная работа,  Область ответственности:  ,,"   Понимание предметной области и специфики IT;   Успешный опыт закрытия сложных IT-вакансий;     Навыки поиска в GitHub, stackoverflow, LinkedIn, facebook, habr, telegram;       Многозадачность, самоорганизованность.     ","   Договор с ИП, договор ГПХ;   Перспектива долгосрочного сотрудничества на крупных проектах;     Возможна как полная так и частичная занятость, проектная работа.     ", рекрутинг; Формирование планов по подбору персонала; Boolean search; X-ray; Поиск программистов; Подбор IT персонала; Мотивация персонала;,7
5,5,IT Директор,Москва,250000.0,220000.0,2020-10-21T12:30:38+0300,От 1 года до 3 лет,Полная занятость,Полный день,  Deliver  — это электронный экспедитор. Мы осуществляем FTL перевозки 20-ти тонными фурами по всей России. ,,,, Git; Управление проектами; PHP; Стратегическое мышление; Ориентация на результат; Управление процессами; Symfony; MySQL; Системное мышление; RabbitMQ;,7
6,6,Project manager,Санкт-Петербург,225000.0,350000.0,2020-10-20T12:17:44+0300,Нет опыта,Полная занятость,Полный день, We are hiring an IT Project Manager for augmented reality applications developing company ,,,, Risk management; Negotiation skills; Project management; MS Project; Английский язык;,8
7,7,Project manager,Санкт-Петербург,170000.0,111547.0,2020-10-20T15:47:05+0300,От 3 до 6 лет,Полная занятость,Полный день," Мы -  «Софтвайс» , и мы   занимается разработкой ПО в области рекламы и мобильных игр. ",,,, Agile Project Management; Тайм-менеджмент; Бизнес-анализ; Английский язык;,8
8,8,IT-рекрутер,Санкт-Петербург,60000.0,100000.0,2020-10-21T11:41:37+0300,От 3 до 6 лет,Полная занятость,Удаленная работа,  Требования:  ,"     Вести подбор IT специалистов уровня middle/senior/lead;       Улучшать текущие процессы рекрутмента;       Вести отчетности о проделанной работе;       Использовать при поиске как стандартные, так новые нетривиальные инструменты;       Проводить эффективные структурированные интервью;       Качественно вести базу кандидатов в нашей системе найма;     ","     Опыт подбора персонала в IT от 3 лет;       Владение английским языком на уровне разговорного (В1);       Готовность работать в режиме многозадачности;       Вы умеете завершать начатые дела;       Сохранять настрой, что в рекрутинге нет невыполнимых задач;       Умение быть позитивным в любой, даже самой сложной ситуации;       Высокий уровень самодисциплины, готовность работать удаленно полный день.     ","   Стать частью сильной команды   Интересные и важные задачи   Возможность роста внутри компании как в техническом, так и у управленческом направлении (мы быстро расширяемся)   ", Рекрутмент; Подбор персонала; IT Recruitment; Работа в команде; Английский язык;,7
9,9,IT Специалист,Москва,40000.0,74724.0,2020-10-20T13:51:32+0300,Нет опыта,Полная занятость,Удаленная работа, ,   Настройка и сопровождение систем финансового учёта в авиакомпаниях России и стран СНГ.   Обучение сотрудников заказчиков работе в системах финансового учёта в авиакомпаниях.   Обследование объектов и разработка технологий и технических заданий.   Формулирование технических заданий для программирования.   ,"   Высшее образование (IT, прикладная математика).   Опыт работы в IT приветствуется, но не требуется.   Хорошие коммуникативные навыки, грамотная устная и письменная речь.   Знание английского языка приветствуется.   Начало карьеры.   ","   Работа в офисе. Для жителей не Москвы - удаленная работа. В настоящее время и в период пандемии COVID-19 - удаленная работа. График работы 5/2 с 10:00 до 19:00.   Оформление согласно ТК РФ.   Оплачиваемые больничные листы, отпуск.    Заработная плата по результатам собеседования.    Заработная плата ""белая"", ежегодная индексация заработной платы с учетом инфляции.   Доплата за выслугу лет, премия по итогам года.   Премии до 50% к окладу за период командировки.   Испытательный срок 3 месяца.   Дружный, профессиональный коллектив.   ",,8
